timestamp,user,src_ip,event,success
2025-01-01 00:00:00.000000000,alice,10.0.3.167,login,1
2025-01-01 00:00:00.000000000,dave,10.0.2.133,logout,0
2025-01-01 00:00:00.000000000,carol,10.0.2.104,login,1
2025-01-01 00:00:00.000000000,bob,10.0.0.202,login,1
2025-01-01 00:05:05.296819787,dave,10.0.1.215,login,1
2025-01-01 00:06:09.226495726,carol,10.0.1.110,ssh_open,1
2025-01-01 00:06:49.473933649,bob,10.0.2.22,login,0
2025-01-01 00:06:57.386473429,alice,10.0.1.110,logout,1
2025-01-01 00:10:10.593639575,dave,10.0.0.114,login,1
2025-01-01 00:12:18.452991452,carol,10.0.3.161,login,1
2025-01-01 00:13:38.947867298,bob,10.0.0.142,login,1
2025-01-01 00:13:54.772946859,alice,10.0.3.22,login,1
2025-01-01 00:15:15.890459363,dave,10.0.3.243,passwd_change,0
2025-01-01 00:18:27.679487179,carol,10.0.1.236,login,1
2025-01-01 00:20:21.187279151,dave,10.0.1.166,logout,1
2025-01-01 00:20:28.421800947,bob,10.0.2.204,logout,0
2025-01-01 00:20:52.159420289,alice,10.0.2.52,login,1
2025-01-01 00:24:36.905982905,carol,10.0.3.237,login,1
2025-01-01 00:25:26.484098939,dave,10.0.0.30,login,1
2025-01-01 00:27:17.895734597,bob,10.0.1.235,login,1
2025-01-01 00:27:49.545893719,alice,10.0.0.134,logout,0
2025-01-01 00:30:31.780918727,dave,10.0.1.225,login,1
2025-01-01 00:30:46.132478632,carol,10.0.2.100,login,0
2025-01-01 00:34:07.369668246,bob,10.0.1.209,login,1
2025-01-01 00:34:46.932367149,alice,10.0.3.187,logout,0
2025-01-01 00:35:37.077738515,dave,10.0.2.125,ssh_open,1
2025-01-01 00:36:55.358974358,carol,10.0.3.84,passwd_change,1
2025-01-01 00:40:42.374558303,dave,10.0.1.36,logout,1
2025-01-01 00:40:56.843601895,bob,10.0.0.10,login,1
2025-01-01 00:41:44.318840579,alice,10.0.3.183,logout,0
2025-01-01 00:43:04.585470085,carol,10.0.1.115,logout,1
2025-01-01 00:45:47.671378091,dave,10.0.1.39,logout,1
2025-01-01 00:47:46.317535545,bob,10.0.0.95,passwd_change,1
2025-01-01 00:48:41.705314009,alice,10.0.3.131,login,1
2025-01-01 00:49:13.811965811,carol,10.0.3.145,logout,1
2025-01-01 00:50:52.968197879,dave,10.0.0.175,login,1
2025-01-01 00:54:35.791469194,bob,10.0.3.13,login,1
2025-01-01 00:55:23.038461538,carol,10.0.1.118,login,1
2025-01-01 00:55:39.091787439,alice,10.0.0.214,login,1
2025-01-01 00:55:58.265017667,dave,10.0.0.13,login,0
2025-01-01 01:01:03.561837455,dave,10.0.2.73,login,1
2025-01-01 01:01:25.265402843,bob,10.0.1.28,logout,1
2025-01-01 01:01:32.264957264,carol,10.0.1.168,login,1
2025-01-01 01:02:36.478260869,alice,10.0.1.128,ssh_open,1
2025-01-01 01:06:08.858657243,dave,10.0.1.36,logout,0
2025-01-01 01:07:41.491452991,carol,10.0.1.141,login,1
2025-01-01 01:08:14.739336492,bob,10.0.3.172,login,1
2025-01-01 01:09:33.864734299,alice,10.0.1.47,login,1
2025-01-01 01:11:14.155477031,dave,10.0.0.113,login,1
2025-01-01 01:13:50.717948717,carol,10.0.1.82,login,0
2025-01-01 01:15:04.213270142,bob,10.0.3.182,ssh_open,1
2025-01-01 01:16:19.452296819,dave,10.0.2.106,login,0
2025-01-01 01:16:31.251207729,alice,10.0.3.199,login,0
2025-01-01 01:19:59.944444444,carol,10.0.3.88,login,0
2025-01-01 01:21:24.749116607,dave,10.0.2.133,logout,1
2025-01-01 01:21:53.687203791,bob,10.0.2.197,login,1
2025-01-01 01:23:28.637681159,alice,10.0.2.103,login,1
2025-01-01 01:26:09.170940170,carol,10.0.0.97,login,0
2025-01-01 01:26:30.045936395,dave,10.0.1.72,ssh_open,0
2025-01-01 01:28:43.161137440,bob,10.0.0.220,login,1
2025-01-01 01:30:26.024154589,alice,10.0.3.139,logout,1
2025-01-01 01:31:35.342756183,dave,10.0.1.9,logout,1
2025-01-01 01:32:18.397435897,carol,10.0.2.25,login,1
2025-01-01 01:35:32.635071090,bob,10.0.2.188,passwd_change,1
2025-01-01 01:36:40.639575971,dave,10.0.2.157,login,1
2025-01-01 01:37:23.410628019,alice,10.0.1.115,ssh_open,1
2025-01-01 01:38:27.623931623,carol,203.0.113.106,login,0
2025-01-01 01:38:27.623931623,carol,10.0.1.43,login,0
2025-01-01 01:41:45.936395759,dave,10.0.1.95,login,1
2025-01-01 01:42:22.109004739,bob,10.0.1.204,ssh_open,1
2025-01-01 01:44:20.797101449,alice,10.0.0.24,login,1
2025-01-01 01:44:36.850427350,carol,10.0.2.184,logout,0
2025-01-01 01:46:51.233215547,dave,10.0.1.166,login,1
2025-01-01 01:49:11.582938388,bob,10.0.1.13,login,1
2025-01-01 01:50:46.076923076,carol,10.0.3.99,login,1
2025-01-01 01:51:18.183574879,alice,10.0.2.226,ssh_open,1
2025-01-01 01:51:56.530035335,dave,10.0.3.28,login,1
2025-01-01 01:56:01.056872037,bob,10.0.3.60,login,1
2025-01-01 01:56:55.303418803,carol,10.0.3.55,login,1
2025-01-01 01:57:01.826855123,dave,10.0.1.4,login,1
2025-01-01 01:58:15.570048309,alice,10.0.0.219,login,0
2025-01-01 02:02:07.123674911,dave,10.0.1.64,login,1
2025-01-01 02:02:50.530805687,bob,10.0.0.158,logout,0
2025-01-01 02:03:04.529914529,carol,203.0.113.171,login,0
2025-01-01 02:03:04.529914529,carol,10.0.3.143,logout,1
2025-01-01 02:05:12.956521739,alice,10.0.3.71,login,1
2025-01-01 02:07:12.420494699,dave,10.0.1.116,login,1
2025-01-01 02:09:13.756410256,carol,10.0.3.192,logout,1
2025-01-01 02:09:40.004739336,bob,10.0.0.218,passwd_change,1
2025-01-01 02:12:10.342995169,alice,10.0.2.42,logout,0
2025-01-01 02:12:17.717314487,dave,10.0.1.101,passwd_change,0
2025-01-01 02:15:22.982905982,carol,10.0.2.66,logout,1
2025-01-01 02:16:29.478672985,bob,10.0.1.2,login,1
2025-01-01 02:17:23.014134275,dave,10.0.3.206,ssh_open,1
2025-01-01 02:19:07.729468599,alice,10.0.3.178,login,1
2025-01-01 02:21:32.209401709,carol,10.0.2.211,login,1
2025-01-01 02:22:28.310954063,dave,10.0.0.96,login,1
2025-01-01 02:23:18.952606635,bob,10.0.3.131,login,1
2025-01-01 02:23:18.952606635,bob,203.0.113.203,login,0
2025-01-01 02:26:05.115942028,alice,10.0.1.18,login,1
2025-01-01 02:27:33.607773851,dave,10.0.3.135,login,0
2025-01-01 02:27:41.435897435,carol,10.0.3.236,logout,1
2025-01-01 02:30:08.426540284,bob,10.0.1.173,logout,1
2025-01-01 02:32:38.904593639,dave,10.0.0.151,login,1
2025-01-01 02:33:02.502415458,alice,10.0.3.114,login,1
2025-01-01 02:33:50.662393162,carol,10.0.0.152,login,1
2025-01-01 02:36:57.900473933,bob,10.0.2.8,logout,1
2025-01-01 02:37:44.201413427,dave,10.0.0.6,login,1
2025-01-01 02:39:59.888888888,carol,10.0.0.170,login,1
2025-01-01 02:39:59.888888888,alice,10.0.3.173,ssh_open,1
2025-01-01 02:42:49.498233215,dave,10.0.2.131,login,1
2025-01-01 02:43:47.374407582,bob,10.0.3.102,logout,1
2025-01-01 02:46:09.115384615,carol,10.0.3.14,login,1
2025-01-01 02:46:57.275362318,alice,10.0.3.194,login,1
2025-01-01 02:47:54.795053003,dave,10.0.3.88,login,1
2025-01-01 02:50:36.848341232,bob,10.0.2.228,login,1
2025-01-01 02:52:18.341880341,carol,10.0.2.241,login,1
2025-01-01 02:53:00.091872791,dave,10.0.3.108,logout,1
2025-01-01 02:53:54.661835748,alice,10.0.0.93,ssh_open,1
2025-01-01 02:57:26.322274881,bob,10.0.2.171,login,1
2025-01-01 02:58:05.388692579,dave,10.0.2.26,login,1
2025-01-01 02:58:27.568376068,carol,10.0.3.100,login,1
2025-01-01 03:00:52.048309178,alice,10.0.1.127,logout,1
2025-01-01 03:03:10.685512367,dave,10.0.0.199,ssh_open,1
2025-01-01 03:04:15.796208530,bob,10.0.1.61,ssh_open,1
2025-01-01 03:04:15.796208530,bob,203.0.113.167,login,0
2025-01-01 03:04:36.794871794,carol,10.0.0.235,login,1
2025-01-01 03:07:49.434782608,alice,10.0.0.139,login,1
2025-01-01 03:08:15.982332155,dave,10.0.3.240,login,0
2025-01-01 03:10:46.021367521,carol,10.0.3.148,logout,1
2025-01-01 03:11:05.270142180,bob,10.0.1.217,passwd_change,1
2025-01-01 03:13:21.279151943,dave,10.0.1.6,login,0
2025-01-01 03:14:46.821256038,alice,10.0.0.189,logout,1
2025-01-01 03:16:55.247863247,carol,10.0.3.2,login,1
2025-01-01 03:17:54.744075829,bob,10.0.2.89,logout,1
2025-01-01 03:18:26.575971731,dave,10.0.3.153,login,1
2025-01-01 03:21:44.207729468,alice,10.0.2.235,login,1
2025-01-01 03:23:04.474358974,carol,10.0.2.10,login,1
2025-01-01 03:23:31.872791519,dave,10.0.0.195,login,1
2025-01-01 03:24:44.218009478,bob,10.0.3.217,login,1
2025-01-01 03:28:37.169611307,dave,10.0.3.73,login,1
2025-01-01 03:28:41.594202898,alice,10.0.2.94,login,1
2025-01-01 03:29:13.700854700,carol,10.0.3.173,login,1
2025-01-01 03:31:33.691943127,bob,10.0.3.76,login,1
2025-01-01 03:33:42.466431095,dave,10.0.3.201,ssh_open,1
2025-01-01 03:35:22.927350427,carol,203.0.113.115,login,0
2025-01-01 03:35:22.927350427,carol,10.0.3.143,login,1
2025-01-01 03:35:38.980676328,alice,10.0.3.105,logout,0
2025-01-01 03:38:23.165876777,bob,10.0.2.150,logout,1
2025-01-01 03:38:47.763250883,dave,10.0.2.161,login,1
2025-01-01 03:41:32.153846153,carol,10.0.0.7,login,1
2025-01-01 03:42:36.367149758,alice,10.0.1.231,logout,1
2025-01-01 03:43:53.060070671,dave,10.0.1.237,login,1
2025-01-01 03:45:12.639810426,bob,10.0.1.101,login,1
2025-01-01 03:47:41.380341880,carol,10.0.1.189,login,1
2025-01-01 03:48:58.356890459,dave,10.0.3.250,login,1
2025-01-01 03:49:33.753623188,alice,10.0.1.20,login,0
2025-01-01 03:52:02.113744075,bob,10.0.0.70,ssh_open,1
2025-01-01 03:53:50.606837606,carol,10.0.0.217,login,0
2025-01-01 03:54:03.653710247,dave,10.0.2.11,login,1
2025-01-01 03:56:31.140096618,alice,10.0.1.203,login,1
2025-01-01 03:58:51.587677725,bob,10.0.2.226,login,1
2025-01-01 03:59:08.950530035,dave,10.0.1.114,login,1
2025-01-01 03:59:59.833333333,carol,10.0.0.127,logout,1
2025-01-01 04:03:28.526570048,alice,10.0.0.118,logout,1
2025-01-01 04:04:14.247349823,dave,10.0.3.139,login,1
2025-01-01 04:05:41.061611374,bob,10.0.3.48,logout,1
2025-01-01 04:05:41.061611374,bob,203.0.113.204,login,0
2025-01-01 04:06:09.059829059,carol,10.0.0.119,ssh_open,1
2025-01-01 04:09:19.544169611,dave,10.0.2.38,logout,1
2025-01-01 04:10:25.913043478,alice,10.0.0.175,passwd_change,1
2025-01-01 04:12:18.286324786,carol,10.0.1.2,login,1
2025-01-01 04:12:30.535545023,bob,10.0.2.22,passwd_change,1
2025-01-01 04:14:24.840989399,dave,10.0.3.86,login,1
2025-01-01 04:17:23.299516908,alice,10.0.1.84,logout,0
2025-01-01 04:18:27.512820512,carol,10.0.2.200,logout,1
2025-01-01 04:19:20.009478672,bob,10.0.2.87,login,1
2025-01-01 04:19:30.137809187,dave,10.0.0.251,login,1
2025-01-01 04:24:20.685990338,alice,10.0.0.144,login,1
2025-01-01 04:24:35.434628975,dave,10.0.0.5,logout,1
2025-01-01 04:24:36.739316239,carol,10.0.3.85,passwd_change,1
2025-01-01 04:26:09.483412322,bob,10.0.1.183,login,1
2025-01-01 04:29:40.731448763,dave,10.0.0.115,passwd_change,1
2025-01-01 04:30:45.965811965,carol,10.0.3.224,ssh_open,1
2025-01-01 04:31:18.072463768,alice,10.0.2.239,login,1
2025-01-01 04:32:58.957345971,bob,10.0.1.206,logout,1
2025-01-01 04:32:58.957345971,bob,203.0.113.250,login,0
2025-01-01 04:34:46.028268551,dave,10.0.0.215,login,1
2025-01-01 04:36:55.192307692,carol,10.0.3.95,logout,1
2025-01-01 04:38:15.458937198,alice,10.0.1.41,login,1
2025-01-01 04:39:48.431279620,bob,10.0.2.254,login,1
2025-01-01 04:39:51.325088339,dave,10.0.2.83,login,1
2025-01-01 04:43:04.418803418,carol,10.0.3.144,passwd_change,1
2025-01-01 04:44:56.621908127,dave,10.0.0.122,login,1
2025-01-01 04:45:12.845410628,alice,10.0.3.160,logout,1
2025-01-01 04:46:37.905213270,bob,10.0.2.76,login,1
2025-01-01 04:49:13.645299145,carol,10.0.0.69,ssh_open,1
2025-01-01 04:50:01.918727915,dave,10.0.0.249,login,1
2025-01-01 04:52:10.231884057,alice,10.0.2.25,passwd_change,1
2025-01-01 04:53:27.379146919,bob,10.0.3.104,logout,1
2025-01-01 04:55:07.215547703,dave,10.0.1.121,login,1
2025-01-01 04:55:22.871794871,carol,10.0.2.41,logout,1
2025-01-01 04:59:07.618357487,alice,10.0.1.196,login,1
2025-01-01 05:00:12.512367491,dave,10.0.0.34,logout,1
2025-01-01 05:00:16.853080568,bob,10.0.2.35,ssh_open,1
2025-01-01 05:01:32.098290598,carol,10.0.1.197,login,1
2025-01-01 05:05:17.809187279,dave,10.0.0.14,login,1
2025-01-01 05:06:05.004830917,alice,10.0.3.111,login,0
2025-01-01 05:07:06.327014218,bob,10.0.0.147,login,1
2025-01-01 05:07:41.324786324,carol,10.0.0.127,login,1
2025-01-01 05:10:23.106007067,dave,10.0.2.241,logout,1
2025-01-01 05:13:02.391304347,alice,10.0.3.214,login,1
2025-01-01 05:13:50.551282051,carol,10.0.0.137,login,0
2025-01-01 05:13:55.800947867,bob,10.0.0.254,login,1
2025-01-01 05:15:28.402826855,dave,10.0.3.68,login,1
2025-01-01 05:19:59.777777777,carol,10.0.0.246,login,1
2025-01-01 05:19:59.777777777,alice,10.0.1.229,logout,1
2025-01-01 05:20:33.699646643,dave,10.0.3.129,passwd_change,0
2025-01-01 05:20:45.274881516,bob,10.0.3.179,login,1
2025-01-01 05:25:38.996466431,dave,10.0.0.24,logout,1
2025-01-01 05:26:09.004273504,carol,10.0.0.245,login,1
2025-01-01 05:26:57.164251207,alice,10.0.1.61,logout,1
2025-01-01 05:27:34.748815165,bob,10.0.2.152,login,1
2025-01-01 05:30:44.293286219,dave,10.0.2.108,login,1
2025-01-01 05:32:18.230769230,carol,10.0.3.218,login,1
2025-01-01 05:33:54.550724637,alice,10.0.2.162,login,1
2025-01-01 05:34:24.222748815,bob,10.0.0.100,login,1
2025-01-01 05:35:49.590106007,dave,10.0.0.237,login,1
2025-01-01 05:38:27.457264957,carol,10.0.3.48,login,0
2025-01-01 05:40:51.937198067,alice,10.0.0.212,login,1
2025-01-01 05:40:54.886925795,dave,10.0.2.128,login,1
2025-01-01 05:41:13.696682464,bob,10.0.1.233,login,0
2025-01-01 05:44:36.683760683,carol,10.0.3.151,login,1
2025-01-01 05:46:00.183745583,dave,10.0.3.247,passwd_change,1
2025-01-01 05:47:49.323671497,alice,10.0.0.205,login,1
2025-01-01 05:48:03.170616113,bob,10.0.0.127,logout,1
2025-01-01 05:50:45.910256410,carol,10.0.3.224,logout,1
2025-01-01 05:51:05.480565371,dave,10.0.3.66,login,1
2025-01-01 05:54:46.710144927,alice,10.0.0.203,login,0
2025-01-01 05:54:52.644549763,bob,10.0.1.35,login,1
2025-01-01 05:56:10.777385159,dave,10.0.3.129,login,1
2025-01-01 05:56:55.136752136,carol,10.0.2.96,login,0
2025-01-01 06:01:16.074204946,dave,10.0.2.219,login,1
